td-cD,pwD,cDe
0.01,NA,0.001
0.01176812,NA,0.001
0.013848864,NA,0.001
0.016297508,NA,0.001
0.019179103,NA,0.001
0.022570197,0.004474757,0.001
0.026560878,0.004919591,0.001
0.031257158,0.005403337,0.001
0.036783798,0.005929175,0.001
0.043287613,0.006500552,0.001
0.05094138,0.007121205,0.001
0.059948425,0.007795184,0.001
0.070548023,0.008526877,0.001
0.083021757,0.009321037,0.001
0.097700996,0.010182813,0.001
0.1149757,0.01111778,0.001
0.135304777,0.01213197,0.001
0.159228279,0.013231913,0.001
0.187381742,0.014424671,0.001
0.220513074,0.015717881,0.001
0.259502421,0.017119797,0.001
0.305385551,0.01863934,0.001
0.359381366,0.020286144,0.001
0.422924287,0.022070609,0.001
0.497702356,0.024003961,0.001
0.585702082,0.026098305,0.001
0.68926121,0.028366694,0.001
0.811130831,0.030823189,0.001
0.954548457,0.033482931,0.001
1.123324033,0.036362215,0.001
1.321941148,0.039478559,0.001
1.555676144,0.042850791,0.001
1.83073828,0.04649912,0.001
2.15443469,0.050445226,0.001
2.535364494,0.054712342,0.001
2.98364724,0.059325337,0.001
3.511191734,0.064310807,0.001
4.1320124,0.069697153,0.001
4.86260158,0.075514669,0.001
5.722367659,0.081795621,0.001
6.734150658,0.088574319,0.001
7.924828984,0.095887189,0.001
9.326033469,0.103772831,0.001
10.97498765,0.11227207,0.001
12.91549665,0.121427988,0.001
15.19911083,0.131285945,0.001
17.88649529,0.14189358,0.001
21.04904145,0.153300787,0.001
24.77076356,0.165559664,0.001
29.15053063,0.178724433,0.001
34.30469286,0.192851332,0.001
40.37017259,0.207998452,0.001
47.50810162,0.224225555,0.001
55.90810183,0.24159383,0.001
65.79332247,0.260165603,0.001
77.42636827,0.28000401,0.001
91.11627561,0.301172592,0.001
107.2267222,0.323734863,0.001
126.1856883,0.347753809,0.001
148.4968262,0.373291344,0.001
174.75284,0.40040771,0.001
205.6512308,0.429160847,0.001
242.0128265,0.459605719,0.001
284.8035868,0.491793627,0.001
335.1602651,0.5257715,0.001
394.4206059,0.561581188,0.001
464.1588834,0.599258782,0.001
546.2277218,0.638833962,0.001
642.8073117,0.680329395,0.001
756.4633276,0.72376021,0.001
890.2150854,0.769133566,0.001
1047.615753,0.816448312,0.001
1232.846739,0.86569479,0.001
1450.828778,0.916854753,0.001
1707.352647,0.969901423,0.001
2009.233003,1.024799728,0.001
2364.489413,1.081506624,0.001
2782.559402,1.139971627,0.001
3274.549163,1.200137413,0.001
3853.528594,1.261940547,0.001
4534.878508,1.325312363,0.001
5336.699231,1.390179783,0.001
6280.291442,1.456466324,0.001
7390.722034,1.524093028,0.001
8697.490026,1.592979449,0.001
10235.31022,1.66304453,0.001
12045.0354,1.734207512,0.001
14174.74163,1.806388724,0.001
16681.00537,1.879510274,0.001
19630.4065,1.953496718,0.001
23101.297,2.028275547,0.001
27185.88243,2.10377759,0.001
31992.67138,2.179937374,0.001
37649.35807,2.256693295,0.001
44306.21458,2.333987752,0.001
52140.08288,2.411767291,0.001
61359.07273,2.489982424,0.001
72208.09018,2.568587681,0.001
84975.34359,2.647541464,0.001
100000,2.72680584,0.001
0.01,0.005556011,0.01
0.01176812,0.006289935,0.01
0.013848864,0.00710765,0.01
0.016297508,0.008016756,0.01
0.019179103,0.00902533,0.01
0.022570197,0.01014196,0.01
0.026560878,0.011375772,0.01
0.031257158,0.012736471,0.01
0.036783798,0.014234382,0.01
0.043287613,0.015880502,0.01
0.05094138,0.017686562,0.01
0.059948425,0.019665083,0.01
0.070548023,0.021829451,0.01
0.083021757,0.024193991,0.01
0.097700996,0.026774045,0.01
0.1149757,0.029586058,0.01
0.135304777,0.032647664,0.01
0.159228279,0.035977775,0.01
0.187381742,0.039596676,0.01
0.220513074,0.043526112,0.01
0.259502421,0.047789389,0.01
0.305385551,0.052411458,0.01
0.359381366,0.057419015,0.01
0.422924287,0.062840587,0.01
0.497702356,0.068706619,0.01
0.585702082,0.075049553,0.01
0.68926121,0.081903912,0.01
0.811130831,0.089306358,0.01
0.954548457,0.09729576,0.01
1.123324033,0.105913234,0.01
1.321941148,0.115202178,0.01
1.555676144,0.125208285,0.01
1.83073828,0.13597954,0.01
2.15443469,0.147566184,0.01
2.535364494,0.160020663,0.01
2.98364724,0.173397536,0.01
3.511191734,0.187753352,0.01
4.1320124,0.203146485,0.01
