td-cD,pwDD,cDe
0.01,0,0.001
0.01176812,0,0.001
0.013848864,0,0.001
0.016297508,0,0.001
0.019179103,0,0.001
0.022570197,0,0.001
0.026560878,0.002851746,0.001
0.031257158,0.003100515,0.001
0.036783798,0.003369638,0.001
0.043287613,0.003660823,0.001
0.05094138,0.003975921,0.001
0.059948425,0.004316933,0.001
0.070548023,0.00468602,0.001
0.083021757,0.005085517,0.001
0.097700996,0.005517945,0.001
0.1149757,0.005986021,0.001
0.135304777,0.006492678,0.001
0.159228279,0.007041074,0.001
0.187381742,0.007634612,0.001
0.220513074,0.008276955,0.001
0.259502421,0.008972042,0.001
0.305385551,0.00972411,0.001
0.359381366,0.010537709,0.001
0.422924287,0.011417722,0.001
0.497702356,0.012369386,0.001
0.585702082,0.013398313,0.001
0.68926121,0.014510507,0.001
0.811130831,0.015712387,0.001
0.954548457,0.017010806,0.001
1.123324033,0.018413068,0.001
1.321941148,0.019926951,0.001
1.555676144,0.021560719,0.001
1.83073828,0.023323136,0.001
2.15443469,0.025223482,0.001
2.535364494,0.027271554,0.001
2.98364724,0.029477678,0.001
3.511191734,0.031852701,0.001
4.1320124,0.034407984,0.001
4.86260158,0.037155391,0.001
5.722367659,0.04010726,0.001
6.734150658,0.043276366,0.001
7.924828984,0.046675885,0.001
9.326033469,0.050319321,0.001
10.97498765,0.054220439,0.001
12.91549665,0.058393177,0.001
15.19911083,0.062851521,0.001
17.88649529,0.067609395,0.001
21.04904145,0.072680493,0.001
24.77076356,0.078078113,0.001
29.15053063,0.083814961,0.001
34.30469286,0.089902923,0.001
40.37017259,0.096352825,0.001
47.50810162,0.103174174,0.001
55.90810183,0.110374851,0.001
65.79332247,0.117960829,0.001
77.42636827,0.12593584,0.001
91.11627561,0.134301053,0.001
107.2267222,0.143054758,0.001
126.1856883,0.152192038,0.001
148.4968262,0.161704467,0.001
174.75284,0.171579848,0.001
205.6512308,0.181801963,0.001
242.0128265,0.192350427,0.001
284.8035868,0.203200566,0.001
335.1602651,0.21432335,0.001
394.4206059,0.225685501,0.001
464.1588834,0.237249637,0.001
546.2277218,0.248974531,0.001
642.8073117,0.260815504,0.001
756.4633276,0.272724928,0.001
890.2150854,0.2846528,0.001
1047.615753,0.296547477,0.001
1232.846739,0.308356455,0.001
1450.828778,0.320027159,0.001
1707.352647,0.331507913,0.001
2009.233003,0.342748769,0.001
2364.489413,0.353702393,0.001
2782.559402,0.364324927,0.001
3274.549163,0.374576607,0.001
3853.528594,0.384422586,0.001
4534.878508,0.39383326,0.001
